fc5a.1df0.d3d0;10.184.90.208;11/12.0/0;online;6436;5.7;3210;2;;CHORRILLOS3;3/02/2020 14:24;U
fc5a.1df0.7430;10.184.90.163;12/13.0/0;online;3140;4.7;2873;2;;CHORRILLOS3;3/02/2020 14:24;U
fc5a.1df0.4a20;10.184.90.223;11/5.1/0;online;392;6;3109;2;;CHORRILLOS3;3/02/2020 14:24;U
fc5a.1de7.d100;10.184.90.145;5/9.1/0;online;6110;5.2;3739;2;;CHORRILLOS3;3/02/2020 14:24;U
fc5a.1de7.4180;10.184.90.108;11/14.1/0;online;1937;5.2;3462;2;;CHORRILLOS3;3/02/2020 14:24;U
fc5a.1de7.39b0;10.184.51.205;11/8.0/0;online;5578;5;3227;2;;CHORRILLOS3;3/02/2020 14:24;U
fc5a.1ded.1ee0;10.184.14.0;9/10.1/0;online;601;4.5;2721;2;;SAN JUAN4;3/02/2020 14:24;U
fc5a.1de7.3f20;10.184.12.184;9/9.0/0;online;7198;5;2855;2;;SAN JUAN4;3/02/2020 14:24;U
fc5a.1de7.3f10;10.184.1.125;11/0.1/0;online;242;5;4370;2;;SAN JUAN4;3/02/2020 14:24;U
fc5a.1de7.3710;10.184.1.168;13/0.1/0;online;860;5.2;2720;2;;SAN JUAN4;3/02/2020 14:24;U
fc5a.1de7.3330;10.184.108.155;8/3.1/0;online;1154;4.7;4551;2;;SAN JUAN4;3/02/2020 14:24;U
fc5a.1df3.dc10;10.164.57.70;12/5.1/0;online;6635;5;2841;2;;ZARATE2;3/02/2020 14:24;U
fc5a.1df2.fb30;10.164.29.54;5/2.0/0;online;2022;4.7;2869;2;;ZARATE2;3/02/2020 14:24;U
fc5a.1df2.cc10;10.164.29.248;5/2.1/0;online;927;2.7;2865;2;;ZARATE2;3/02/2020 14:24;U
fc5a.1df2.8610;10.164.57.75;12/4.1/0;online;6307;5;2844;2;;ZARATE2;3/02/2020 14:24;U
fc5a.1df1.8790;10.164.35.215;9/2.0/0;online;3503;4.7;3022;2;;ZARATE2;3/02/2020 14:24;U
fc5a.1df1.3800;10.164.19.62;9/12.1/0;online;5636;5;2937;2;;ZARATE2;3/02/2020 14:24;U
fc5a.1df1.3360;10.164.54.215;10/6.1/0;online;7206;5;2838;2;;ZARATE2;3/02/2020 14:24;U
fc5a.1df1.0050;10.164.56.56;4/8.1/0;online;564;5.2;2885;2;;ZARATE2;3/02/2020 14:24;U
fc5a.1df4.3b40;10.47.29.10;10/1.1/0;online;3771;5;2839;2;;ZARATE1;3/02/2020 14:24;U
fc5a.1df3.75d0;10.47.5.84;5/8.1/0;online;1041;5;2764;2;;ZARATE1;3/02/2020 14:24;U
fc5a.1df2.4250;10.47.46.25;2/8.0/0;online;1214;5;2848;2;;ZARATE1;3/02/2020 14:24;U
fc5a.1df1.2e40;10.47.46.66;10/0.1/0;online;5612;5;2877;2;;ZARATE1;3/02/2020 14:24;U
fc5a.1df0.d1a0;10.47.42.99;10/0.0/0;online;4498;5;2860;2;;ZARATE1;3/02/2020 14:24;U
